Layer Index,Condition Number,Compression Ratio
0,7976.179,23.808197
1,4510.4653,11.344701
2,2524.1104,10.21978
3,1048.6842,5.8209805
4,287.81946,7.8399115
5,74.74724,8.446554
6,64.26366,10.547361
7,57.100117,9.07219
8,53.121742,13.627007
9,43.254692,8.970222
10,60.393444,14.492072
11,51.938145,10.819389
12,58.069603,7.4467125
13,40.691673,11.907151
14,63.480858,7.0177813
15,42.76864,8.317836
16,54.083607,9.753654
17,40.790756,5.638582
18,44.375507,10.070934
19,38.629074,9.041095
20,38.757034,6.833319
21,46.637306,5.5686693
22,34.793438,6.0744715
23,37.143574,6.2014284
24,39.537334,7.3358965
25,52.767822,8.157893
26,44.948635,5.6335135
27,45.362015,6.4515743
28,56.001175,5.4904776
29,46.84166,9.437181
30,51.439342,8.37342
31,64.73593,10.527264
